              latlon ;city
-122.136,47.82223; Snohomish
-122.1354,47.58123; Bellevue
-122.1343,37.4188; Palo Alto
-122.1338,47.7047; Redmond
-122.13,37.68665; San Lorenzo
-122.13,38.22028; Fairfield
-122.1298,37.83505; Moraga
-122.1296,47.67429; Redmond
-122.1291,47.6747; Redmond
-122.1286,37.6822; San Lorenzo
-122.1276,37.70218; San Leandro
-122.1264,48.18086; Arlington
-122.1257,37.41333; Palo Alto
-122.1255,47.68111; Redmond
-122.1242,37.85771; Moraga
-122.1216,47.6706; Redmond
-122.121,37.39287; Los Altos
-122.1202,37.89186; Lafayette
-122.1201,47.67054; Redmond
-122.1193,37.99379; Martinez
-122.1169,47.35814; Covington
-122.1166,37.37837; Los Altos
-122.1131,47.67139; Redmond
-122.1122,47.99991; Everett
-122.1121,47.3581; Kent
-122.1102,37.65323; Hayward
-122.1102,47.6708; Redmond
-122.1061,47.67117; Redmond
-122.1061,47.7521; Woodinville
-122.1056,48.00007; Lake Stevens
-122.1051,37.89527; Lafayette
-122.1031,37.99394; Martinez
-122.0979,47.92486; Snohomish
-122.096,37.39075; Mountain View
-122.0953,45.37613; Sandy
-122.0929,47.70234; Redmond
-122.0927,37.41147; Mountain View
-122.0925,37.95761; Martinez
-122.0898,37.65226; Hayward
-122.0894,37.64842; Hayward
-122.0872,37.3724; Mountain View
-122.0865,37.9249; Walnut Creek
-122.0862,37.69437; Castro Valley
-122.0861,37.67248; Hayward
-122.0844,37.67257; Hayward
-122.0814,47.75527; Woodinville
-122.0779,37.6959; Castro Valley
-122.0739,37.69628; Castro Valley
-122.0697,37.61764; Hayward
-122.0696,38.2598; Fairfield
-122.0689,48.0245; Lake Stevens
-122.0645,37.9064; Walnut Creek
-122.0641,37.60715; Hayward
-122.0633,37.94521; Pleasant Hill
